37013.0,19798
37211.0,19160
37209.0,17758
37206.0,15711
37207.0,14519
37208.0,12905
37115.0,11469
37214.0,10690
37205.0,9681
37203.0,8896
37217.0,8644
37216.0,8643
37215.0,8432
37210.0,7782
37212.0,6905
37204.0,6419
37218.0,6138
37013,5867
37211,5670
37209,5350
37207,4465
37206,4454
37208,4077
37076.0,3904
37221.0,3491
37205,2973
37203,2808
37214,2806
37027.0,2716
37215,2662
37115,2595
37217,2473
37216,2431
37210,2303
37138.0,2201
37219.0,2066
37220.0,2033
37218,2002
37212,1953
37204,1894
37201.0,1821
37076,1702
37072.0,1309
37189.0,1122
37221,1092
37027,734
37080.0,732
37201,659
37220,590
37138,558
37219,558
37213.0,507
37228.0,453
37072,442
37189,295
37080,230
37213,191
37015.0,168
37135.0,127
37086.0,121
37228,121
37143.0,78
37015,50
37122.0,37
37086,33
37143,30
37135,30
37064.0,24
37240.0,13
0,12
0.0,12
37240,11
37064,9
37122,8
37246,8
37232.0,8
37075.0,5
37246.0,4
TN,3
37160.0,2
37152.0,2
37172.0,2
37090.0,2
37073.0,2
37066.0,2
37129.0,1
37130.0,1
37040.0,1
37087.0,1
37363.0,1
37663.0,1
38401.0,1
37067.0,1
38506.0,1
372515.0,1
38011,1
37036.0,1
